v, -26.5683, 0, 30.2583, 0, -1, 0, 1, -0, 0
v, -26.5683, 0, -30.2583, 0, -1, 0, 1, -1, 0
v, 26.5683, 0, -30.2583, 0, -1, 0, 0, -1, 0
v, 26.5683, 0, -30.2583, 0, -1, 0, 0, -1, 0
v, 26.5683, 0, 30.2583, 0, -1, 0, 0, -0, 0
v, -26.5683, 0, 30.2583, 0, -1, 0, 1, -0, 0
v, -26.5683, 36.9004, 30.2583, 0, 1, 0, 0, -0, 0
v, 26.5683, 36.9004, 30.2583, 0, 1, 0, 1, -0, 0
v, 26.5683, 36.9004, -30.2583, 0, 1, 0, 1, -1, 0
v, 26.5683, 36.9004, -30.2583, 0, 1, 0, 1, -1, 0
v, -26.5683, 36.9004, -30.2583, 0, 1, 0, 0, -1, 0
v, -26.5683, 36.9004, 30.2583, 0, 1, 0, 0, -0, 0
v, -26.5683, 0, 30.2583, 0, 0, 1, 0, -0, 0
v, 26.5683, 0, 30.2583, 0, 0, 1, 1, -0, 0
v, 26.5683, 36.9004, 30.2583, 0, 0, 1, 1, -1, 0
v, 26.5683, 36.9004, 30.2583, 0, 0, 1, 1, -1, 0
v, -26.5683, 36.9004, 30.2583, 0, 0, 1, 0, -1, 0
v, -26.5683, 0, 30.2583, 0, 0, 1, 0, -0, 0
v, 26.5683, 0, 30.2583, 1, 0, 0, 0, -0, 0
v, 26.5683, 0, -30.2583, 1, 0, 0, 1, -0, 0
v, 26.5683, 36.9004, -30.2583, 1, 0, 0, 1, -1, 0
v, 26.5683, 36.9004, -30.2583, 1, 0, 0, 1, -1, 0
v, 26.5683, 36.9004, 30.2583, 1, 0, 0, 0, -1, 0
v, 26.5683, 0, 30.2583, 1, 0, 0, 0, -0, 0
v, 26.5683, 0, -30.2583, 0, 0, -1, 0, -0, 0
v, -26.5683, 0, -30.2583, 0, 0, -1, 1, -0, 0
v, -26.5683, 36.9004, -30.2583, 0, 0, -1, 1, -1, 0
v, -26.5683, 36.9004, -30.2583, 0, 0, -1, 1, -1, 0
v, 26.5683, 36.9004, -30.2583, 0, 0, -1, 0, -1, 0
v, 26.5683, 0, -30.2583, 0, 0, -1, 0, -0, 0
v, -26.5683, 0, -30.2583, -1, 0, 0, 0, -0, 0
v, -26.5683, 0, 30.2583, -1, 0, 0, 1, -0, 0
v, -26.5683, 36.9004, 30.2583, -1, 0, 0, 1, -1, 0
v, -26.5683, 36.9004, 30.2583, -1, 0, 0, 1, -1, 0
v, -26.5683, 36.9004, -30.2583, -1, 0, 0, 0, -1, 0
v, -26.5683, 0, -30.2583, -1, 0, 0, 0, -0, 0
t, 0, -1, 1, 0, -0, 0, 1, -0, -0, -0, 1, -0.369003, 0, -1.10701
v, -25.8303, 3.8147e-006, 22.5092, -1.05714e-021, -1, 0, 1, -0, 0
v, -25.8303, 0, -22.5092, -1.05714e-021, -1, 0, 1, -1, 0
v, 25.8303, 0, -22.5092, -1.05714e-021, -1, 0, 0, -1, 0
v, 25.8303, 0, -22.5092, -1.05714e-021, -1, 0, 0, -1, 0
v, 25.8303, 3.8147e-006, 22.5092, -1.05714e-021, -1, 0, 0, -0, 0
v, -25.8303, 3.8147e-006, 22.5092, -1.05714e-021, -1, 0, 1, -0, 0
v, -25.8303, 17.7122, 22.5092, 1.05714e-021, 1, 0, 0, -0, 0
v, 25.8303, 17.7122, 22.5092, 1.05714e-021, 1, 0, 1, -0, 0
v, 25.8303, 17.7122, -22.5092, 1.05714e-021, 1, 0, 1, -1, 0
v, 25.8303, 17.7122, -22.5092, 1.05714e-021, 1, 0, 1, -1, 0
v, -25.8303, 17.7122, -22.5092, 1.05714e-021, 1, 0, 0, -1, 0
v, -25.8303, 17.7122, 22.5092, 1.05714e-021, 1, 0, 0, -0, 0
v, -25.8303, 3.8147e-006, 22.5092, 3.55296e-015, 0, 1, 0, -0, 0
v, 25.8303, 3.8147e-006, 22.5092, 3.55296e-015, 0, 1, 1, -0, 0
